epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1872.84,0.84394,0.4369,0.99388,0.93531,0.90372,0.94697,0.65079,1.18829,0.59311,1.08698,0.0003368,0.0003368,0.0003368
86,1894.81,0.85837,0.45015,0.98905,0.93668,0.92474,0.96022,0.67968,1.14137,0.56857,1.05928,0.000317,0.000317,0.000317
87,1917.19,0.84286,0.43127,0.99053,0.90451,0.88826,0.95324,0.6787,1.09463,0.56251,1.05324,0.0002972,0.0002972,0.0002972
88,1938.84,0.82153,0.42061,0.98998,0.90461,0.8893,0.94604,0.66846,1.13145,0.58375,1.06209,0.0002774,0.0002774,0.0002774
89,1960.7,0.84293,0.43839,0.99709,0.89863,0.90625,0.93962,0.65335,1.11204,0.62265,1.04893,0.0002576,0.0002576,0.0002576
90,1982.29,0.82267,0.42762,0.98817,0.90878,0.93412,0.95369,0.66246,1.15848,0.58553,1.06529,0.0002378,0.0002378,0.0002378
91,2027.9,0.91138,0.42755,1.01655,0.93072,0.83981,0.94024,0.65853,1.13404,0.60813,1.05552,0.000218,0.000218,0.000218
92,2049.2,0.88038,0.4102,0.99925,0.89993,0.84312,0.92377,0.64945,1.15639,0.61613,1.05911,0.0001982,0.0001982,0.0001982
93,2070.6,0.87062,0.40871,0.99619,0.93516,0.9015,0.95233,0.66381,1.15327,0.56931,1.05695,0.0001784,0.0001784,0.0001784
94,2091.85,0.86562,0.40081,0.98214,0.92829,0.875,0.93888,0.65223,1.16287,0.56346,1.06249,0.0001586,0.0001586,0.0001586
95,2113.78,0.87273,0.4078,1.00106,0.93067,0.84375,0.94316,0.66186,1.11947,0.54763,1.03675,0.0001388,0.0001388,0.0001388
96,2135.96,0.84803,0.40558,0.98147,0.92796,0.84375,0.94287,0.66883,1.12879,0.5574,1.04578,0.000119,0.000119,0.000119
97,2158.18,0.8562,0.40335,0.98754,0.92791,0.84375,0.94552,0.67202,1.1204,0.54599,1.04221,9.92e-05,9.92e-05,9.92e-05
98,2180.03,0.83668,0.39113,0.98257,0.93308,0.87161,0.94962,0.66972,1.09277,0.54525,1.03185,7.94e-05,7.94e-05,7.94e-05
99,2202.48,0.8385,0.3931,0.9768,0.92823,0.84375,0.94295,0.65726,1.13725,0.56147,1.04905,5.96e-05,5.96e-05,5.96e-05
100,2224.48,0.83483,0.38919,0.97854,0.92697,0.84375,0.94073,0.65565,1.13408,0.57868,1.04887,3.98e-05,3.98e-05,3.98e-05
